scenario_class,pathway,obs_layout,response_count,unique_scenarios,median_sd_eta,median_abs_lnM_T,median_abs_lnM_S,median_abs_lnM_response_time
heterogeneous boundary,Lagging Darcy with leakage,standard4,511,167,0.2631853652315044,0.330668300864911,0.1715315588836637,0.4013106158269667
heterogeneous boundary,Theis confined,dense5,475,130,0.4638472988528302,0.2997247234434237,0.1377459137686197,0.3071109353571422
heterogeneous boundary,Theis confined,far4,417,125,0.5841459237074829,0.3522830120891881,0.1976034098586444,0.3506062791149825
heterogeneous boundary,Theis confined,mixed4,358,131,0.5371825943381923,0.3751328949475088,0.16806565614014857,0.33146391120059127
heterogeneous boundary,Theis confined,near4,352,125,0.5084761023578896,0.23683666962694794,0.09902154368389166,0.2874673286324691
heterogeneous boundary,Theis confined,sparse3,277,119,0.4972020708677523,0.3092780881050528,0.1360149110298147,0.320943156759383
heterogeneous boundary,Theis confined,standard4,393,117,0.564030139074946,0.2364154720599836,0.1192135844554804,0.2526229577925126
heterogeneous leakage,Hantush-Jacob leaky,dense5,210,110,0.39067582996589423,0.6497068166897078,0.30447785957096274,0.37627007665999745
heterogeneous leakage,Hantush-Jacob leaky,far4,200,117,0.4534427853603299,0.9139588191772718,0.5158581927723244,0.501873798962068
heterogeneous leakage,Hantush-Jacob leaky,mixed4,146,99,0.4661775602308774,0.7440862615675252,0.34641589874694423,0.4273000114967799
heterogeneous leakage,Hantush-Jacob leaky,near4,185,98,0.460160731171373,0.385852062425201,0.2233032924902781,0.2838769449316911
heterogeneous leakage,Hantush-Jacob leaky,sparse3,137,99,0.5053805170813067,0.7796516388596914,0.4233253792211202,0.4272547553773286
heterogeneous leakage,Hantush-Jacob leaky,standard4,259,118,0.4347804979807022,0.5404880121165386,0.3282963849671083,0.3497207159590559
heterogeneous leakage,Lagging Darcy no-leakage,dense5,460,131,0.3871001571692913,0.4725398961631573,0.3425374023620582,0.39017404839419345
heterogeneous leakage,Lagging Darcy no-leakage,far4,317,133,0.461810250561074,0.8411455188760845,0.5740189400802315,0.5594707075665011
heterogeneous leakage,Lagging Darcy no-leakage,mixed4,277,121,0.41981102766798,0.598296422264669,0.413078019844584,0.5211140814883728
heterogeneous leakage,Lagging Darcy no-leakage,near4,418,124,0.3937010238273282,0.40757588042603743,0.2854730329689966,0.37485198163282296
heterogeneous leakage,Lagging Darcy no-leakage,sparse3,247,128,0.4550450886786211,0.5894617811941966,0.367482322755765,0.535790315752705
heterogeneous leakage,Lagging Darcy no-leakage,standard4,432,134,0.44553184217587216,0.6074808985449159,0.4740646231770419,0.4448330663586676
heterogeneous leakage,Lagging Darcy with leakage,dense5,671,168,0.2052289555751767,0.431836684237141,0.2444848884417088,0.4026356096627273
heterogeneous leakage,Lagging Darcy with leakage,far4,465,164,0.3603237067405581,1.1287838628307236,0.849332972706386,0.7351201187960049
heterogeneous leakage,Lagging Darcy with leakage,mixed4,501,166,0.2062013312343567,0.6504057292508189,0.3151673279675029,0.4807704557047752
heterogeneous leakage,Lagging Darcy with leakage,near4,578,167,0.17147178666177143,0.3064690112720765,0.1402493421331093,0.3246566794685668
heterogeneous leakage,Lagging Darcy with leakage,sparse3,368,161,0.2941782203065204,0.7332233970231472,0.342859834498611,0.5563594087886081
