scenario_id,scenario_class,obs_layout,duration_days,dx_m,domain_m,sigma_ln_k,sigma_ln_s,leakage_b_m,boundary_type,support_effective_radius_m,support_diffusion_radius_m,support_observation_max_radius_m,support_leakage_limit_m,support_boundary_limit_m,support_target_spread,fixed_radius_130m_T_ratio_to_effective,fixed_130m_reference_status
mega_vertical_leakage_00043,vertical leakage,standard4,5.0,10.0,405.0,0.0,0.0,220.64640810562872,none,192.5,220.4540768504865,100.0,220.64640810562872,192.5,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00044,vertical leakage,near4,10.0,7.5,1205.0,0.0,0.0,71.62871242646148,none,71.62871242646148,311.76914536239855,50.0,71.62871242646148,595.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00045,vertical leakage,near4,2.0,10.0,405.0,0.0,0.0,91.47356773806594,none,91.47356773806594,139.4274004634673,50.0,91.47356773806594,192.5,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00046,vertical leakage,far4,2.0,10.0,1205.0,0.0,0.0,63.67237944184919,none,100.0,139.4274004634673,200.0,63.67237944184919,592.5,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00047,vertical leakage,near4,1.0,10.0,1205.0,0.0,0.0,46.531190972792345,none,46.531190972792345,98.5900603509301,50.0,46.531190972792345,592.5,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00048,vertical leakage,dense5,2.0,7.5,1005.0,0.0,0.0,32.886066939051574,none,100.0,139.4274004634673,200.0,32.886066939051574,495.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00049,vertical leakage,dense5,5.0,5.0,605.0,0.0,0.0,152.1242010723903,none,152.1242010723903,220.4540768504865,200.0,152.1242010723903,297.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00050,vertical leakage,dense5,2.0,10.0,805.0,0.0,0.0,151.95564359582107,none,139.42740046346722,139.42740046346722,200.0,151.95564359582107,392.5,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00051,vertical leakage,sparse3,1.0,10.0,605.0,0.0,0.0,197.81187058040177,none,100.0,98.59006035092999,200.0,197.81187058040177,292.5,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00052,vertical leakage,standard4,1.0,5.0,1205.0,0.0,0.0,120.19523751562627,none,98.59006035093023,98.59006035093023,100.0,120.19523751562627,597.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00053,vertical leakage,far4,2.0,10.0,805.0,0.0,0.0,82.19314262287303,none,100.0,139.42740046346722,200.0,82.19314262287303,392.5,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00054,vertical leakage,far4,2.0,5.0,1005.0,0.0,0.0,50.93880442602564,none,100.0,139.42740046346736,200.0,50.93880442602564,497.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00055,vertical leakage,mixed4,10.0,5.0,1005.0,0.0,0.0,81.42326953165855,none,100.0,311.7691453623987,200.0,81.42326953165855,497.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00056,vertical leakage,sparse3,2.0,10.0,805.0,0.0,0.0,60.437293467736446,none,100.0,139.42740046346722,200.0,60.437293467736446,392.5,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00057,vertical leakage,mixed4,10.0,7.5,1205.0,0.0,0.0,83.78807089669705,none,100.0,311.76914536239855,200.0,83.78807089669705,595.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00058,vertical leakage,standard4,5.0,10.0,1005.0,0.0,0.0,31.39744159105613,none,50.0,220.4540768504865,100.0,31.39744159105613,492.5,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00059,vertical leakage,mixed4,10.0,7.5,605.0,0.0,0.0,75.11950897397489,none,100.0,311.7691453623984,200.0,75.11950897397489,295.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00060,vertical leakage,mixed4,10.0,7.5,1205.0,0.0,0.0,158.01611949892992,none,158.01611949892992,311.76914536239855,200.0,158.01611949892992,595.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00061,vertical leakage,near4,10.0,5.0,405.0,0.0,0.0,177.05262690153444,none,177.05262690153444,311.7691453623984,50.0,177.05262690153444,197.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00062,vertical leakage,standard4,10.0,10.0,1205.0,0.0,0.0,56.30009138277697,none,56.30009138277697,311.76914536239855,100.0,56.30009138277697,592.5,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00063,vertical leakage,sparse3,5.0,7.5,605.0,0.0,0.0,146.47724827237744,none,146.47724827237744,220.4540768504864,200.0,146.47724827237744,295.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00064,vertical leakage,near4,5.0,10.0,805.0,0.0,0.0,113.23843834237064,none,113.23843834237064,220.4540768504864,50.0,113.23843834237064,392.5,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00065,vertical leakage,near4,10.0,5.0,605.0,0.0,0.0,129.1352261733173,none,129.1352261733173,311.76914536239855,50.0,129.1352261733173,297.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00066,vertical leakage,dense5,1.0,5.0,605.0,0.0,0.0,32.21080701522026,none,100.0,98.5900603509301,200.0,32.21080701522026,297.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00067,vertical leakage,near4,10.0,7.5,1205.0,0.0,0.0,38.23587208509644,none,38.23587208509644,311.76914536239855,50.0,38.23587208509644,595.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00068,vertical leakage,dense5,10.0,10.0,805.0,0.0,0.0,35.99243868540421,none,100.0,311.7691453623984,200.0,35.99243868540421,392.5,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00069,vertical leakage,standard4,2.0,10.0,1205.0,0.0,0.0,147.35260144527544,none,139.4274004634673,139.4274004634673,100.0,147.35260144527544,592.5,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00070,vertical leakage,sparse3,2.0,7.5,605.0,0.0,0.0,100.74984973817772,none,100.74984973817772,139.42740046346722,200.0,100.74984973817772,295.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00071,vertical leakage,dense5,1.0,7.5,1205.0,0.0,0.0,27.54148660659617,none,100.0,98.5900603509301,200.0,27.54148660659617,595.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00072,vertical leakage,near4,10.0,10.0,605.0,0.0,0.0,111.44501035189484,none,111.44501035189484,311.76914536239815,50.0,111.44501035189484,292.5,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00073,vertical leakage,far4,2.0,5.0,605.0,0.0,0.0,80.28968593790272,none,100.0,139.4274004634673,200.0,80.28968593790272,297.5,1.0,1.0000000000000027,sensitivity comparison only
