dataset,outcome,factor,n,group_count,eta2_marginal,top_level,top_level_mean,bottom_level,bottom_level_mean
all_fits,sd_eta,support_spread_bin,160012,4,0.00013966432189086497,low,0.43770071095107943,high,0.4249831874782786
all_fits,sd_eta,time_count,160012,3,7.371661419064157e-05,40,0.43308971275167324,28,0.42589839864610485
all_fits,sd_eta,corr_len_m_bin,160012,4,5.950899144770145e-05,very_long,0.4332757278768432,long,0.4261347280704128
all_fits,sd_eta,leakage_present,160012,2,4.6802312922380604e-05,True,0.43173463672612017,False,0.4266949954689583
all_fits,sd_eta,boundary_present,160012,2,7.955316435325665e-07,False,0.4302266952821018,True,0.42958698804236256
quality_gated,lnM_S,pathway,88106,4,0.07081181690811916,Theis confined,0.1939284208960999,Lagging Darcy with leakage,-0.40199898661389033
quality_gated,lnM_S,radius_bin,88106,4,0.026660769389976934,near,0.11275491544700314,very_far,-0.3487647774442145
quality_gated,lnM_S,noise_sd_m,88106,4,0.01980220319623767,0.0,0.14925398216256835,0.01,-0.26013876688617527
quality_gated,lnM_S,leakage_present,88106,2,0.013067623790970954,False,0.04446565174419731,True,-0.1877767467093994
quality_gated,lnM_S,duration_days,88106,4,0.005883263302650439,10.0,0.004999350657944386,1.0,-0.20525571312276214
quality_gated,lnM_S,obs_layout,88106,6,0.004851656509604954,near4,0.028287123344356634,far4,-0.1963348575783674
quality_gated,lnM_S,scenario_class,88106,10,0.004203329076460689,combined leakage boundary,0.06714006358268734,finite no-flow boundary,-0.1515531546942773
quality_gated,lnM_S,anisotropy_bin,88106,4,0.001075916915216104,high_Kx,0.035202980398797906,near_iso,-0.09870237494667929
quality_gated,lnM_S,support_spread_bin,88106,4,0.0009946434963796034,high,-0.006981668629914701,none,-0.10129991893990122
quality_gated,lnM_S,sigma_ln_s_bin,88106,4,0.000881579573110419,moderate,-0.01048640481219825,none,-0.09951122074871568
quality_gated,lnM_S,domain_m,88106,5,0.0005739609990043426,405.0,-0.003695805721110655,1005.0,-0.10047036205700882
quality_gated,lnM_S,sigma_ln_k_bin,88106,4,0.0005379909474922138,high,-0.04418685462510955,low,-0.10929085297547825
quality_gated,lnM_S,boundary_type,88106,4,0.00037880876656479624,constant_head_east,-0.034287625677058856,none,-0.09618470205837165
quality_gated,lnM_S,corr_len_m_bin,88106,4,0.0002741911260491527,moderate,-0.05737621513515935,very_long,-0.114434165374189
quality_gated,lnM_S,time_count,88106,3,7.399326723536766e-05,20,-0.0749072321770794,40,-0.09626964406230094
quality_gated,lnM_S,dx_m,88106,3,5.613615308358775e-05,7.5,-0.07464245305552823,5.0,-0.09187965462017664
quality_gated,lnM_S,boundary_present,88106,2,3.3884605769872076e-06,False,-0.08373177299885666,True,-0.08752055718627347
quality_gated,lnM_T,pathway,88106,4,0.08722290705155442,Theis confined,0.4456128944723663,Lagging Darcy with leakage,-0.6927510336769809
quality_gated,lnM_T,noise_sd_m,88106,4,0.020039385331967297,0.0,0.12897802638436573,0.01,-0.43400886763973
