scenario_id,scenario_class,well,radius_m,pathway,truth_T_ref_m2_s,truth_S_ref,T_fit_m2_s,S_fit,tau_q_fit_s,tau_s_fit_s,leakage_B_fit_m,lnM_T,lnM_S,lnM_capacity,lnM_response_time,bias_eta,sd_eta,cov_response_model_factor,rmse_m,aic,bic,parameter_count,boundary_hit,ensemble_role,dx_m,domain_m,time_count,sigma_ln_k,corr_len_m,support_target_spread
strict_heterogeneous_leakage_06,heterogeneous leakage,R100N,101.9803902718557,Hantush-Jacob leaky,4.0763970737130344e-05,0.001,0.00014020671307635673,0.0016752256767635053,,,81.77029998473536,1.2353192344909356,0.5159478885975581,1.2353192344909356,-0.7193713458933775,0.002417814566084479,0.01308654783223028,0.013087108145351457,0.00020991658092153913,-236.86980976722128,-232.87319623669566,3,False,ensemble,5.0,605.0,28,1.1,10.0,2.099733107806216
strict_heterogeneous_leakage_06,heterogeneous leakage,R100N,101.9803902718557,Lagging Darcy no-leakage,4.0763970737130344e-05,0.001,0.0008836954415834225,0.0008448938735225957,74817.88457310948,8141.537056058473,,3.0763138590746655,-0.16854425297686657,3.0763138590746655,-3.244858112051532,0.00042642232324401037,0.011289480541388253,0.011289840268702616,0.0003829932095684425,-244.0743966741798,-238.745578633479,4,False,ensemble,5.0,605.0,28,1.1,10.0,2.099733107806216
strict_heterogeneous_leakage_06,heterogeneous leakage,R100N,101.9803902718557,Lagging Darcy with leakage,4.0763970737130344e-05,0.001,9.538034870044701e-05,0.0013519218863774969,886.3262724962037,1287.9015729904725,64.77543165427417,0.8500739476652014,0.3015271996036496,0.8500739476652014,-0.5485467480615519,4.274874784761365e-06,0.0002680374193168383,0.00026803742406723504,4.889668516347002e-06,-451.5764109503334,-444.9153883994574,5,False,ensemble,5.0,605.0,28,1.1,10.0,2.099733107806216
strict_heterogeneous_leakage_07,heterogeneous leakage,R20E,18.027756377319946,Theis confined,2.8545305808803592e-05,0.001,2.799322719564792e-05,0.001408596863481283,,,,-0.019529907530307204,0.3425940766344342,-0.019529907530307204,0.3621239841647412,0.013806934132661873,0.09450375356132162,0.09471514897957016,0.049051438102963495,-128.515738943766,-125.85132992341559,2,False,ensemble,5.0,605.0,28,1.1,30.0,3.7901162480403343
strict_heterogeneous_leakage_07,heterogeneous leakage,R20E,18.027756377319946,Hantush-Jacob leaky,2.8545305808803592e-05,0.001,2.4731868001394926e-05,0.0012994940542620508,,,58.96355543475492,-0.1433998880531515,0.2619749996845935,-0.1433998880531515,0.405374887737745,0.016424486433084452,0.08241802610578612,0.08255818524447696,0.020038518685243468,-133.661504470435,-129.66489093990938,3,False,ensemble,5.0,605.0,28,1.1,30.0,3.7901162480403343
strict_heterogeneous_leakage_07,heterogeneous leakage,R20E,18.027756377319946,Lagging Darcy no-leakage,2.8545305808803592e-05,0.001,2.6393584245716716e-05,0.0014313810395831473,0.6370531667090148,31.43488048081716,,-0.07837154295438432,0.35863974017004113,-0.07837154295438432,0.43701128312442533,0.0025265343451307256,0.08078747564490579,0.08091947226615806,0.058703761416732,-133.88217514433697,-128.55335710363616,4,False,ensemble,5.0,605.0,28,1.1,30.0,3.7901162480403343
strict_heterogeneous_leakage_07,heterogeneous leakage,R20E,18.027756377319946,Lagging Darcy with leakage,2.8545305808803592e-05,0.001,1.7584500307357615e-05,0.001173051592006894,50.460237263162774,131.36928068423512,32.071063691816036,-0.48447465289993896,0.15960855165969545,-0.48447465289993896,0.6440832045596344,0.0006252498888375582,0.00583751434506229,0.005837564076041807,0.003608683411829597,-278.7203489581563,-272.0593264072803,5,False,ensemble,5.0,605.0,28,1.1,30.0,3.7901162480403343
strict_heterogeneous_leakage_07,heterogeneous leakage,R50E,51.478150704935004,Theis confined,2.8545305808803592e-05,0.001,7.743616084477487e-05,0.002049039792599967,,,,0.9979613632946159,0.717371289565975,0.9979613632946159,-0.28059007372864114,0.0021234040122627635,0.03580069882804785,0.035812173241450626,0.0052263929999221284,-183.38445127511847,-180.72004225476806,2,False,ensemble,5.0,605.0,28,1.1,30.0,3.7901162480403343
strict_heterogeneous_leakage_07,heterogeneous leakage,R50E,51.478150704935004,Hantush-Jacob leaky,2.8545305808803592e-05,0.001,6.512145075182762e-05,0.0018222285173315103,,,100.82673059334701,0.8247614969994732,0.600060212121112,0.8247614969994732,-0.22470128487836144,0.004248652352118885,0.022443520999351346,0.022446347561627486,0.0013386934800985882,-206.61477515762988,-202.61816162710426,3,False,ensemble,5.0,605.0,28,1.1,30.0,3.7901162480403343
strict_heterogeneous_leakage_07,heterogeneous leakage,R50E,51.478150704935004,Lagging Darcy no-leakage,2.8545305808803592e-05,0.001,7.68567968293734e-05,0.002050546761517969,21.225745189635465,39.11736414942241,,0.9904514062995988,0.7181064705243394,0.9904514062995988,-0.2723449357752594,0.0013369503627071648,0.03638828667648925,0.03640033549994974,0.005395839749448964,-178.53559147299706,-173.20677343229625,4,False,ensemble,5.0,605.0,28,1.1,30.0,3.7901162480403343
