scenario_class,pathway,n_scenarios,cov_M_T,cov_M_S,bias_factor_T,bias_factor_S,tail_relative_range_cov_M_T,tail_relative_range_cov_M_S,converged_flag
heterogeneous leakage,Lagging Darcy with leakage,10,0.38647374907363563,0.31635253551327036,1.2666145750363216,1.1683330869682464,0.09778418795010675,0.05488016071926219,True
heterogeneous boundary,Theis confined,2,0.05497448383884726,0.08592266485430833,1.2348526428182,1.009122609978061,,,
heterogeneous boundary,Theis confined,3,0.08063354860922659,0.07877817447552996,1.2558095925851398,1.0163781539195833,,,
heterogeneous boundary,Theis confined,4,0.08529709242634499,0.08024439022706864,1.2362977884936988,1.0307810931021615,,,
heterogeneous boundary,Theis confined,5,0.07956974632049063,0.07814546623896067,1.2366990831924987,1.0276493975019765,,,
heterogeneous boundary,Theis confined,6,0.08005823175157031,0.08629189676718492,1.2546837939101343,1.0064176694974092,,,
heterogeneous boundary,Theis confined,7,0.09618786940493458,0.11202060586245685,1.2757511805735138,1.002854817199198,,,
heterogeneous boundary,Theis confined,8,0.18147232401030122,0.22859477459547495,1.3050653540139514,1.039107408529537,,,
heterogeneous boundary,Theis confined,9,0.19470794374117475,0.22376555294656783,1.2882491481466776,1.0569658169571847,,,
heterogeneous boundary,Theis confined,10,0.19945356635794656,0.2128339297891851,1.2605502096959946,1.061573406628727,0.09015252359727452,0.07405231309641826,True
heterogeneous boundary,Hantush-Jacob leaky,2,0.06112750382102182,0.08970515748189664,1.2255450323432437,1.0056708887809587,,,
heterogeneous boundary,Hantush-Jacob leaky,3,0.08582203387325561,0.08198382394985727,1.2460216736513217,1.0127255081561504,,,
heterogeneous boundary,Hantush-Jacob leaky,4,0.09044146339247644,0.08343164913923287,1.2274679537068205,1.0273222693192579,,,
heterogeneous boundary,Hantush-Jacob leaky,5,0.0846707378282984,0.08133865317767072,1.2281914107853986,1.0243281310325463,,,
heterogeneous boundary,Hantush-Jacob leaky,6,0.0828779453203236,0.0890866206747428,1.2445540707063718,1.002799321481136,,,
heterogeneous boundary,Hantush-Jacob leaky,7,0.09925227843540713,0.11522617131709482,1.2647488273040866,0.9991333498891771,,,
heterogeneous boundary,Hantush-Jacob leaky,8,0.1825708019457899,0.23101978649927488,1.2938350698292767,1.0352451959024622,,,
heterogeneous boundary,Hantush-Jacob leaky,9,0.19523323122563224,0.22622731880887081,1.2783120354312343,1.0534346222948965,,,
heterogeneous boundary,Hantush-Jacob leaky,10,0.20080453381304142,0.21525452017658314,1.250583411874417,1.0578978363758385,0.0908033873589129,0.07324011737248892,True
heterogeneous boundary,Lagging Darcy no-leakage,2,0.03726138910751494,0.06656649709251218,1.0602071803359734,1.0196660157032054,,,
heterogeneous boundary,Lagging Darcy no-leakage,3,0.0707106644899848,0.06123467152925701,1.078146587626617,1.025186241040851,,,
heterogeneous boundary,Lagging Darcy no-leakage,4,0.06813170361314048,0.06380573384407237,1.0741238020557051,1.037795139339228,,,
heterogeneous boundary,Lagging Darcy no-leakage,5,0.06451832146062933,0.05976181593478316,1.0663368203479957,1.0348060708323399,,,
heterogeneous boundary,Lagging Darcy no-leakage,6,0.06616972652716474,0.06934195787723493,1.0747335499636506,1.019259281479006,,,
heterogeneous boundary,Lagging Darcy no-leakage,7,0.06988469099908368,0.07916324690915404,1.0703137857668021,1.0203635178483412,,,
heterogeneous boundary,Lagging Darcy no-leakage,8,0.1620457341612454,0.17777978151394272,1.0816723457461175,1.0499262585415003,,,
heterogeneous boundary,Lagging Darcy no-leakage,9,0.17350781727928702,0.17021982247696793,1.0617245890494424,1.0585872559176623,,,
heterogeneous boundary,Lagging Darcy no-leakage,10,0.17095932484997123,0.16251792523885386,1.0495070098831447,1.0643738113303256,0.06704567374783678,0.09390875654275299,True
heterogeneous boundary,Lagging Darcy with leakage,2,0.03610455587850195,0.058725257082504395,1.0526371733905528,1.0156512485310842,,,
heterogeneous boundary,Lagging Darcy with leakage,3,0.07164996212728504,0.05621117782226107,1.0730069611076565,1.0224918400581982,,,
heterogeneous boundary,Lagging Darcy with leakage,4,0.07824946163009672,0.055995082811170736,1.0502638718876038,1.0256713916938882,,,
heterogeneous boundary,Lagging Darcy with leakage,5,0.07169368093430298,0.05290560422363866,1.0473409966549754,1.0251254663593639,,,
heterogeneous boundary,Lagging Darcy with leakage,6,0.07402698638235089,0.06272007063431982,1.058757616183549,1.0113050679138664,,,
heterogeneous boundary,Lagging Darcy with leakage,7,0.07361442009671734,0.0735836327397391,1.0548044214936048,1.012616458255098,,,
heterogeneous boundary,Lagging Darcy with leakage,8,0.17587756561660722,0.15941264524425858,1.0626298250552295,1.0391222030747471,,,
heterogeneous boundary,Lagging Darcy with leakage,9,0.18676055472620234,0.15164876008378336,1.0407403043361023,1.0461110927844948,,,
heterogeneous boundary,Lagging Darcy with leakage,10,0.18506162702189974,0.14530169767095302,1.02756242894371,1.051755721827746,0.058807378302727524,0.09711481558364783,True
heterogeneous leakage boundary,Theis confined,2,0.7250653999737791,0.5915283009301757,2.8062509376907245,1.756575567594287,,,
